Product Name,Discounted Price,Original Price,Unit Price,Discount Value,Max Discount
Bartlett Pear,0.95,2.35,($1.89 / Lb),1.4000000000000001,
Signature SELECT Juice Apple - 64 FI. Oz.,2.5,2.79,($0.04 / Foz),0.29000000000000004,
Signature SELECT Ice Cream Vanilla - 1.50 Quart,3.99,4.99,($2.66 / Quart),1.0,
© Organics Organic Popcorn Sea Salt - 5 Oz,2.99,3.99,($0.60 / Ounce),1.0,
‘Signature SELECT Refreshe Drinking Water - 24-16.9 FI. Oz.,2.99,4.99,($0.01 / Foz),2.0,
Previously Frozen Raw Extra Jumbo Shrimp 16-20 Ct - 1 Lb,5.99,9.99,($5.99 / Lb),4.0,MAX
Lucerne Yogurt Lowfat Strawberry Flavored - 32 Oz,3.0,3.29,($0.09 / Ounce),0.29000000000000004,
Brussels Sprouts - 1 Lb,0.99,2.99,($0.99 / Lb),2.0,
Signature SELECT Crackers Saltine - 16 Oz,1.99,3.49,(80.12 / Ounce),1.5000000000000002,
Lucerne Cream Cheese - 8 Oz,1.99,3.29,($0.25 / Ounce),1.3,
